Start Time,End Time,SleepStartDP,SleepEndDP,Duration,Rodent Sleep,Start Time,End Time,
[],[],[],[],[m],[],[s],[s],
5/23/2017 10:01:54 AM,5/23/2017 10:06:38 AM,45320,51000,4.73333333333333,S,2266,2550,
5/23/2017 10:07:48 AM,5/23/2017 10:23:08 AM,52400,70800,15.3333333333333,S,2620,3540,
5/23/2017 10:32:22 AM,5/23/2017 10:53:22 AM,81880,107080,21,S,4094,5354,
5/23/2017 10:54:26 AM,5/23/2017 10:58:20 AM,108360,113040,3.9,S,5418,5652,
5/23/2017 10:58:22 AM,5/23/2017 11:41:46 AM,113080,165160,43.4,S,5654,8258,
5/23/2017 11:45:58 AM,5/23/2017 12:22:38 PM,170200,214200,36.6666666666667,S,8510,10710,
5/23/2017 12:23:52 PM,5/23/2017 12:58:26 PM,215680,257160,34.5666666666667,S,10784,12858,
5/23/2017 1:03:46 PM,5/23/2017 2:16:30 PM,263560,350840,72.7333333333333,S,13178,17542,
5/23/2017 2:18:16 PM,5/23/2017 2:28:10 PM,352960,364840,9.9,S,17648,18242,
5/23/2017 2:29:02 PM,5/23/2017 2:48:34 PM,365880,389320,19.5333333333333,S,18294,19466,
